category observedDifference observedRSA observedSA permutedDifference pValue
disciplinary_content -0.2315789473684211 0.7684210526315789 1.0 0.0014059378901011672 2e-05
researcher_identity_labels 0.1380681818181818 0.15625 0.01818181818181818 -0.0006917602731829988 0.002100000000000082
student_identity_labels 0.08333333333333333 0.08333333333333333 0.0 -0.0005087955089305154 0.000640000000000065
connections_personal_experiences -0.02662037037037035 0.34375 0.37037037037037035 -0.003969862473097103 0.7879
actions_planned_or_taken 0.03409090909090909 0.125 0.09090909090909091 -0.00124976055892199 0.50062
disciplinary_values_self 0.11875000000000002 0.71875 0.6 0.0030597153892216234 0.13634
disciplinary_values_researcher.s_ 0.2117424242424243 0.5208333333333334 0.3090909090909091 0.0056218942898882025 0.014919999999999912
critical_consideration_power 0.6537878787878788 0.7083333333333334 0.05454545454545454 -0.004594311225224501 2e-05
